01_004_Comrade_S1_L001_R1	S101_L001_R1
21_062_N17047_S21_L004_R2	S121_L004_R2
22_063_N18002_S22_L001_R1	S122_L001_R1
22_063_N18002_S22_L001_R2	S122_L001_R2
22_063_N18002_S22_L002_R1	S122_L002_R1
22_063_N18002_S22_L002_R2	S122_L002_R2
22_063_N18002_S22_L003_R1	S122_L003_R1
22_063_N18002_S22_L003_R2	S122_L003_R2
22_063_N18002_S22_L004_R1	S122_L004_R1
22_063_N18002_S22_L004_R2	S122_L004_R2
23_065_N18011_S23_L001_R1	S123_L001_R1
23_065_N18011_S23_L001_R2	S123_L001_R2
23_065_N18011_S23_L002_R1	S123_L002_R1
23_065_N18011_S23_L002_R2	S123_L002_R2
23_065_N18011_S23_L003_R1	S123_L003_R1
23_065_N18011_S23_L003_R2	S123_L003_R2
23_065_N18011_S23_L004_R1	S123_L004_R1
23_065_N18011_S23_L004_R2	S123_L004_R2
24_066_N18012_S24_L001_R1	S124_L001_R1
24_066_N18012_S24_L001_R2	S124_L001_R2
24_066_N18012_S24_L002_R1	S124_L002_R1
24_066_N18012_S24_L002_R2	S124_L002_R2
24_066_N18012_S24_L003_R1	S124_L003_R1
24_066_N18012_S24_L003_R2	S124_L003_R2
24_066_N18012_S24_L004_R1	S124_L004_R1
24_066_N18012_S24_L004_R2	S124_L004_R2
25_068_N18018_S25_L001_R1	S125_L001_R1
25_068_N18018_S25_L001_R2	S125_L001_R2
25_068_N18018_S25_L002_R1	S125_L002_R1
25_068_N18018_S25_L002_R2	S125_L002_R2
25_068_N18018_S25_L003_R1	S125_L003_R1
25_068_N18018_S25_L003_R2	S125_L003_R2
25_068_N18018_S25_L004_R1	S125_L004_R1
25_068_N18018_S25_L004_R2	S125_L004_R2
26_069_N18026_S26_L001_R1	S126_L001_R1
26_069_N18026_S26_L001_R2	S126_L001_R2
26_069_N18026_S26_L002_R1	S126_L002_R1
26_069_N18026_S26_L002_R2	S126_L002_R2
26_069_N18026_S26_L003_R1	S126_L003_R1
26_069_N18026_S26_L003_R2	S126_L003_R2
26_069_N18026_S26_L004_R1	S126_L004_R1
26_069_N18026_S26_L004_R2	S126_L004_R2
27_071_N18033_S27_L001_R1	S127_L001_R1
27_071_N18033_S27_L001_R2	S127_L001_R2
27_071_N18033_S27_L002_R1	S127_L002_R1
27_071_N18033_S27_L002_R2	S127_L002_R2
27_071_N18033_S27_L003_R1	S127_L003_R1
27_071_N18033_S27_L003_R2	S127_L003_R2
27_071_N18033_S27_L004_R1	S127_L004_R1
27_071_N18033_S27_L004_R2	S127_L004_R2
28_079_N18041_S28_L001_R1	S128_L001_R1
28_079_N18041_S28_L001_R2	S128_L001_R2
28_079_N18041_S28_L002_R1	S128_L002_R1
28_079_N18041_S28_L002_R2	S128_L002_R2
28_079_N18041_S28_L003_R1	S128_L003_R1
28_079_N18041_S28_L003_R2	S128_L003_R2
28_079_N18041_S28_L004_R1	S128_L004_R1
28_079_N18041_S28_L004_R2	S128_L004_R2
29_080_N18042_S29_L001_R1	S129_L001_R1
29_080_N18042_S29_L001_R2	S129_L001_R2
29_080_N18042_S29_L002_R1	S129_L002_R1
29_080_N18042_S29_L002_R2	S129_L002_R2
29_080_N18042_S29_L003_R1	S129_L003_R1
29_080_N18042_S29_L003_R2	S129_L003_R2
29_080_N18042_S29_L004_R1	S129_L004_R1
29_080_N18042_S29_L004_R2	S129_L004_R2
30_081_N18043_S30_L001_R1	S130_L001_R1
30_081_N18043_S30_L001_R2	S130_L001_R2
30_081_N18043_S30_L002_R1	S130_L002_R1
30_081_N18043_S30_L002_R2	S130_L002_R2
30_081_N18043_S30_L003_R1	S130_L003_R1
30_081_N18043_S30_L003_R2	S130_L003_R2
30_081_N18043_S30_L004_R1	S130_L004_R1
30_081_N18043_S30_L004_R2	S130_L004_R2
31_083_N18045_S31_L001_R1	S131_L001_R1
31_083_N18045_S31_L001_R2	S131_L001_R2
31_083_N18045_S31_L002_R1	S131_L002_R1
31_083_N18045_S31_L002_R2	S131_L002_R2
31_083_N18045_S31_L003_R1	S131_L003_R1
31_083_N18045_S31_L003_R2	S131_L003_R2
31_083_N18045_S31_L004_R1	S131_L004_R1
31_083_N18045_S31_L004_R2	S131_L004_R2
32_086_N18049_S32_L001_R1	S132_L001_R1
32_086_N18049_S32_L001_R2	S132_L001_R2
